0.600656455,Human A,Real,white
0.369073669,Human A,Real,pink
0.023340627,Human A,Real,brown
0.006929249,Human A,Real,black
0.786606523,Human A,Null,white
0.201249133,Human A,Null,pink
0.002507762,Human A,Null,brown
0.004857738,Human A,Null,black
0.42092531,Human B,Real,white
0.466283641,Human B,Real,pink
0.062896885,Human B,Real,brown
0.049894164,Human B,Real,black
0.494140006,Human B,Null,white
0.346531517,Human B,Null,pink
0.061133988,Human B,Null,brown
0.098194488,Human B,Null,black
0.404572565,Human m3,Real,white
0.566600398,Human m3,Real,pink
0.017892644,Human m3,Real,brown
0.010934394,Human m3,Real,black
0.676328502,Human m3,Null,white
0.309178744,Human m3,Null,pink
0.004830918,Human m3,Null,brown
0.009661836,Human m3,Null,black
0.461187215,Human f4,Real,white
0.506849315,Human f4,Real,pink
0.028538813,Human f4,Real,brown
0.003424658,Human f4,Real,black
0.611617312,Human f4,Null,white
0.354214123,Human f4,Null,pink
0.028473804,Human f4,Null,brown
0.005694761,Human f4,Null,black
0.838571429,Mice lf1,Real,white
0.056428571,Mice lf1,Real,pink
0.002857143,Mice lf1,Real,brown
0.102142857,Mice lf1,Real,black
0.899531145,Mice lf1,Null,white
0.028131279,Mice lf1,Null,pink
0,Mice lf1,Null,brown
0.072337575,Mice lf1,Null,black
0.858887381,Mice lf2,Real,white
0.030529172,Mice lf2,Real,pink
0.000678426,Mice lf2,Real,brown
0.10990502,Mice lf2,Real,black
0.853820598,Mice lf2,Null,white
0.024584718,Mice lf2,Null,pink
0,Mice lf2,Null,brown
0.121594684,Mice lf2,Null,black
0.813611756,Mice lf3,Real,white
0.054137664,Mice lf3,Real,pink
0.003093581,Mice lf3,Real,brown
0.129156999,Mice lf3,Real,black
0.872689938,Mice lf3,Null,white
0.020533881,Mice lf3,Null,pink
0,Mice lf3,Null,brown
0.106776181,Mice lf3,Null,black
0.642807505,Mice hf1,Real,white
0.310632384,Mice hf1,Real,pink
0.033356498,Mice hf1,Real,brown
0.013203614,Mice hf1,Real,black
0.713649852,Mice hf1,Null,white
0.258902077,Mice hf1,Null,pink
0.017062315,Mice hf1,Null,brown
0.010385757,Mice hf1,Null,black
0.729766804,Mice hf2,Real,white
0.259259259,Mice hf2,Real,pink
0.010973937,Mice hf2,Real,brown
0,Mice hf2,Real,black
0.714379947,Mice hf2,Null,white
0.279023747,Mice hf2,Null,pink
0.005936675,Mice hf2,Null,brown
0.000659631,Mice hf2,Null,black
0.660401003,Mice hf3,Real,white
0.234962406,Mice hf3,Real,pink
0.097117794,Mice hf3,Real,brown
0.007518797,Mice hf3,Real,black
0.765847348,Mice hf3,Null,white
0.157826649,Mice hf3,Null,pink
0.07373868,Mice hf3,Null,brown
0.002587322,Mice hf3,Null,black
